YR,M,D,hh,mm,1MIN,6MIN,ALTERNATE,PREDICTED,RESIDUAL
2011,03,10,18,19,0.39,,,,
2011,03,10,18,20,0.38,,,,
2011,03,10,18,21,0.34,,,,
2011,03,10,18,22,0.35,,,,
2011,03,10,18,23,0.34,,,,
2011,03,10,18,24,0.36,0.35,,,
2011,03,10,18,25,0.35,,,,
2011,03,10,18,26,0.37,,,,
2011,03,10,18,27,0.39,,,,
2011,03,10,18,28,0.35,,,,
2011,03,10,18,29,0.39,,,,
2011,03,10,18,30,0.36,0.37,,,
2011,03,10,18,31,0.37,,,,
2011,03,10,18,32,0.38,,,,
2011,03,10,18,33,0.38,,,,
2011,03,10,18,34,0.40,,,,
2011,03,10,18,35,0.42,,,,
2011,03,10,18,36,0.42,0.41,,,
2011,03,10,18,37,0.40,,,,
2011,03,10,18,38,0.42,,,,
2011,03,10,18,39,0.39,,,,
2011,03,10,18,40,0.34,,,,
2011,03,10,18,41,0.38,,,,
2011,03,10,18,42,0.41,0.39,,,
2011,03,10,18,43,0.42,,,,
2011,03,10,18,44,0.43,,,,
2011,03,10,18,45,0.40,,,,
2011,03,10,18,46,0.39,,,,
2011,03,10,18,47,0.43,,,,
2011,03,10,18,48,0.46,0.44,,,
2011,03,10,18,49,0.45,,,,
2011,03,10,18,50,0.40,,,,
2011,03,10,18,51,0.41,,,,
2011,03,10,18,52,0.45,,,,
2011,03,10,18,53,0.45,,,,
2011,03,10,18,54,0.47,0.46,,,
2011,03,10,18,55,0.44,,,,
2011,03,10,18,56,0.47,,,,
2011,03,10,18,57,0.47,,,,
2011,03,10,18,58,0.48,,,,
2011,03,10,18,59,0.52,,,,
2011,03,10,19,00,0.49,0.50,,,
2011,03,10,19,01,0.48,,,,
2011,03,10,19,02,0.48,,,,
2011,03,10,19,03,0.46,,,,
2011,03,10,19,04,0.50,,,,
2011,03,10,19,05,0.52,,,,
2011,03,10,19,06,0.47,0.49,,,
2011,03,10,19,07,0.46,,,,
2011,03,10,19,08,0.52,,,,
2011,03,10,19,09,0.55,,,,
2011,03,10,19,10,0.51,,,,
2011,03,10,19,11,0.52,,,,
2011,03,10,19,12,0.53,0.52,,,
2011,03,10,19,13,0.48,,,,
2011,03,10,19,14,0.52,,,,
2011,03,10,19,15,0.54,,,,
2011,03,10,19,16,0.53,,,,
2011,03,10,19,17,0.54,,,,
2011,03,10,19,18,0.53,0.54,,,
2011,03,10,19,19,0.54,,,,
2011,03,10,19,20,0.56,,,,
2011,03,10,19,21,0.55,,,,
2011,03,10,19,22,0.55,,,,
2011,03,10,19,23,0.50,,,,
2011,03,10,19,24,0.51,0.52,,,
2011,03,10,19,25,0.58,,,,
2011,03,10,19,26,0.56,,,,
2011,03,10,19,27,0.54,,,,
2011,03,10,19,28,0.52,,,,
2011,03,10,19,29,0.53,,,,
2011,03,10,19,30,0.55,0.55,,,
2011,03,10,19,31,0.61,,,,
2011,03,10,19,32,0.65,,,,
2011,03,10,19,33,0.58,,,,
2011,03,10,19,34,0.54,,,,
2011,03,10,19,35,0.60,,,,
2011,03,10,19,36,0.62,0.60,,,
2011,03,10,19,37,0.59,,,,
2011,03,10,19,38,0.61,,,,
2011,03,10,19,39,0.62,,,,
2011,03,10,19,40,0.59,,,,
2011,03,10,19,41,0.59,,,,
2011,03,10,19,42,0.59,0.59,,,
2011,03,10,19,43,0.61,,,,
2011,03,10,19,44,0.61,,,,
2011,03,10,19,45,0.61,,,,
2011,03,10,19,46,0.64,,,,
2011,03,10,19,47,0.64,,,,
2011,03,10,19,48,0.65,0.64,,,
2011,03,10,19,49,0.63,,,,
2011,03,10,19,50,0.64,,,,
2011,03,10,19,51,0.61,,,,
2011,03,10,19,52,0.65,,,,
2011,03,10,19,53,0.70,,,,
2011,03,10,19,54,0.66,0.68,,,
2011,03,10,19,55,0.67,,,,
2011,03,10,19,56,0.63,,,,
2011,03,10,19,57,0.65,,,,
2011,03,10,19,58,0.67,,,,
2011,03,10,19,59,0.71,,,,
2011,03,10,20,00,0.70,0.69,,,
2011,03,10,20,01,0.66,,,,
2011,03,10,20,02,0.68,,,,
2011,03,10,20,03,0.67,,,,
2011,03,10,20,04,0.71,,,,
2011,03,10,20,05,0.71,,,,
2011,03,10,20,06,0.65,0.68,,,
2011,03,10,20,07,0.67,,,,
2011,03,10,20,08,0.71,,,,
2011,03,10,20,09,0.71,,,,
2011,03,10,20,10,0.70,,,,
2011,03,10,20,11,0.70,,,,
2011,03,10,20,12,0.71,0.71,,,
2011,03,10,20,13,0.73,,,,
2011,03,10,20,14,0.71,,,,
2011,03,10,20,15,0.70,,,,
2011,03,10,20,16,0.68,,,,
2011,03,10,20,17,0.72,,,,
2011,03,10,20,18,0.72,0.72,,,
2011,03,10,20,19,0.74,,,,
2011,03,10,20,20,0.75,,,,
2011,03,10,20,21,0.73,,,,
2011,03,10,20,22,0.75,,,,
2011,03,10,20,23,0.77,,,,
2011,03,10,20,24,0.76,0.76,,,
2011,03,10,20,25,0.72,,,,
2011,03,10,20,26,0.75,,,,
2011,03,10,20,27,0.77,,,,
2011,03,10,20,28,0.76,,,,
2011,03,10,20,29,0.73,,,,
2011,03,10,20,30,0.75,0.75,,,
2011,03,10,20,31,0.80,,,,
2011,03,10,20,32,0.83,,,,
2011,03,10,20,33,0.77,,,,
2011,03,10,20,34,0.79,,,,
2011,03,10,20,35,0.77,,,,
2011,03,10,20,36,0.80,0.79,,,
2011,03,10,20,37,0.82,,,,
2011,03,10,20,38,0.83,,,,
2011,03,10,20,39,0.81,,,,
2011,03,10,20,40,0.81,,,,
2011,03,10,20,41,0.80,,,,
2011,03,10,20,42,0.81,0.81,,,
2011,03,10,20,43,0.78,,,,
2011,03,10,20,44,0.79,,,,
2011,03,10,20,45,0.81,,,,
2011,03,10,20,46,0.83,,,,
2011,03,10,20,47,0.83,,,,
2011,03,10,20,48,0.83,0.83,,,
2011,03,10,20,49,0.82,,,,
2011,03,10,20,50,0.80,,,,
2011,03,10,20,51,0.79,,,,
2011,03,10,20,52,0.87,,,,
2011,03,10,20,53,0.86,,,,
2011,03,10,20,54,0.82,0.84,,,
2011,03,10,20,55,0.81,,,,
2011,03,10,20,56,0.85,,,,
2011,03,10,20,57,0.82,,,,
2011,03,10,20,58,0.87,,,,
2011,03,10,20,59,0.81,,,,
2011,03,10,21,00,0.83,0.83,,,
2011,03,10,21,01,0.86,,,,
2011,03,10,21,02,0.84,,,,
2011,03,10,21,03,0.84,,,,
2011,03,10,21,04,0.86,,,,
2011,03,10,21,05,0.86,,,,
2011,03,10,21,06,0.89,0.88,,,
2011,03,10,21,07,0.88,,,,
2011,03,10,21,08,0.83,,,,
2011,03,10,21,09,0.88,,,,
2011,03,10,21,10,0.91,,,,
2011,03,10,21,11,0.92,,,,
2011,03,10,21,12,0.86,0.89,,,
2011,03,10,21,13,0.87,,,,
2011,03,10,21,14,0.89,,,,
2011,03,10,21,15,0.88,,,,
2011,03,10,21,16,0.93,,,,
2011,03,10,21,17,0.93,,,,
2011,03,10,21,18,0.91,0.92,,,
2011,03,10,21,19,0.92,,,,
2011,03,10,21,20,0.87,,,,
2011,03,10,21,21,0.88,,,,
2011,03,10,21,22,0.89,,,,
2011,03,10,21,23,0.92,,,,
2011,03,10,21,24,0.91,0.90,,,
2011,03,10,21,25,0.90,,,,
2011,03,10,21,26,0.91,,,,
2011,03,10,21,27,0.91,,,,
2011,03,10,21,28,0.91,,,,
2011,03,10,21,29,0.93,,,,
2011,03,10,21,30,0.97,0.94,,,
2011,03,10,21,31,0.96,,,,
2011,03,10,21,32,0.94,,,,
2011,03,10,21,33,0.93,,,,
2011,03,10,21,34,0.92,,,,
2011,03,10,21,35,0.90,,,,
2011,03,10,21,36,0.93,0.92,,,
2011,03,10,21,37,0.92,,,,
2011,03,10,21,38,0.93,,,,
2011,03,10,21,39,0.96,,,,
2011,03,10,21,40,0.97,,,,
2011,03,10,21,41,0.96,,,,
2011,03,10,21,42,0.98,0.99,,,
2011,03,10,21,43,0.98,,,,
2011,03,10,21,44,0.93,,,,
2011,03,10,21,45,0.94,,,,
2011,03,10,21,46,0.96,,,,
2011,03,10,21,47,0.98,,,,
2011,03,10,21,48,0.95,0.96,,,
2011,03,10,21,49,0.98,,,,
2011,03,10,21,50,0.99,,,,
2011,03,10,21,51,0.96,,,,
2011,03,10,21,52,0.97,,,,
2011,03,10,21,53,0.98,,,,
2011,03,10,21,54,1.00,0.99,,,
2011,03,10,21,55,0.96,,,,
2011,03,10,21,56,0.98,,,,
2011,03,10,21,57,0.95,,,,
2011,03,10,21,58,0.97,,,,
2011,03,10,21,59,0.99,,,,
2011,03,10,22,00,0.99,0.99,,,
2011,03,10,22,01,0.99,,,,
2011,03,10,22,02,0.98,,,,
2011,03,10,22,03,0.99,,,,
2011,03,10,22,04,0.99,,,,
2011,03,10,22,05,0.99,,,,
2011,03,10,22,06,1.03,1.00,,,
2011,03,10,22,07,1.02,,,,
2011,03,10,22,08,1.01,,,,
2011,03,10,22,09,0.98,,,,
2011,03,10,22,10,0.99,,,,
2011,03,10,22,11,0.97,,,,
2011,03,10,22,12,1.00,0.99,,,
2011,03,10,22,13,1.02,,,,
2011,03,10,22,14,1.01,,,,
2011,03,10,22,15,1.00,,,,
2011,03,10,22,16,1.04,,,,
2011,03,10,22,17,1.00,,,,
2011,03,10,22,18,0.98,1.00,,,
2011,03,10,22,19,1.04,,,,
2011,03,10,22,20,1.08,,,,
2011,03,10,22,21,1.03,,,,
2011,03,10,22,22,1.00,,,,
2011,03,10,22,23,1.01,,,,
2011,03,10,22,24,1.02,1.01,,,
2011,03,10,22,25,0.98,,,,
2011,03,10,22,26,0.99,,,,
2011,03,10,22,27,1.03,,,,
2011,03,10,22,28,1.00,,,,
2011,03,10,22,29,1.02,,,,
2011,03,10,22,30,1.03,1.02,,,
2011,03,10,22,31,1.02,,,,
