YR,M,D,hh,mm,1MIN,6MIN,ALTERNATE,PREDICTED,RESIDUAL
2011,03,07,15,59,0.29,,,,
2011,03,07,16,00,0.28,0.41,0.41,,
2011,03,07,16,01,0.41,,,,
2011,03,07,16,02,0.42,,,,
2011,03,07,16,03,0.42,,,,
2011,03,07,16,04,0.41,,,,
2011,03,07,16,05,0.43,,,,
2011,03,07,16,06,0.42,0.43,0.44,,
2011,03,07,16,07,0.43,,,,
2011,03,07,16,08,0.44,,,,
2011,03,07,16,09,0.43,,,,
2011,03,07,16,10,0.44,,,,
2011,03,07,16,11,0.43,,,,
2011,03,07,16,12,0.44,0.44,0.46,,
2011,03,07,16,13,0.44,,,,
2011,03,07,16,14,0.45,,,,
2011,03,07,16,15,0.44,,,,
2011,03,07,16,16,0.45,,,,
2011,03,07,16,17,0.45,,,,
2011,03,07,16,18,0.46,0.45,0.46,,
2011,03,07,16,19,0.45,,,,
2011,03,07,16,20,0.46,,,,
2011,03,07,16,21,0.46,,,,
2011,03,07,16,22,0.47,,,,
2011,03,07,16,23,0.46,,,,
2011,03,07,16,24,0.49,0.48,0.48,,
2011,03,07,16,25,0.48,,,,
2011,03,07,16,26,0.47,,,,
2011,03,07,16,27,0.49,,,,
2011,03,07,16,28,0.48,,,,
2011,03,07,16,29,0.49,,,,
2011,03,07,16,30,0.50,0.50,0.51,,
2011,03,07,16,31,0.50,,,,
2011,03,07,16,32,0.50,,,,
2011,03,07,16,33,0.50,,,,
2011,03,07,16,34,0.51,,,,
2011,03,07,16,35,0.51,,,,
2011,03,07,16,36,0.51,0.52,0.52,,
2011,03,07,16,37,0.53,,,,
2011,03,07,16,38,0.53,,,,
2011,03,07,16,39,0.53,,,,
2011,03,07,16,40,0.53,,,,
2011,03,07,16,41,0.54,,,,
2011,03,07,16,42,0.54,0.54,0.55,,
2011,03,07,16,43,0.54,,,,
2011,03,07,16,44,0.54,,,,
2011,03,07,16,45,0.55,,,,
2011,03,07,16,46,0.54,,,,
2011,03,07,16,47,0.56,,,,
2011,03,07,16,48,0.55,0.56,0.57,,
2011,03,07,16,49,0.55,,,,
2011,03,07,16,50,0.55,,,,
2011,03,07,16,51,0.57,,,,
2011,03,07,16,52,0.57,,,,
2011,03,07,16,53,0.55,,,,
2011,03,07,16,54,0.56,0.56,0.57,,
2011,03,07,16,55,0.36,,,,
2011,03,07,16,56,0.37,,,,
2011,03,07,16,57,0.37,,,,
2011,03,07,16,58,0.37,,,,
2011,03,07,16,59,0.37,,,,
2011,03,07,17,00,0.37,0.58,0.59,,
2011,03,07,17,01,0.59,,,,
2011,03,07,17,02,0.60,,,,
2011,03,07,17,03,0.58,,,,
2011,03,07,17,04,0.60,,,,
2011,03,07,17,05,0.61,,,,
2011,03,07,17,06,0.59,0.61,0.62,,
2011,03,07,17,07,0.62,,,,
2011,03,07,17,08,0.60,,,,
2011,03,07,17,09,0.64,,,,
2011,03,07,17,10,0.62,,,,
2011,03,07,17,11,0.62,,,,
2011,03,07,17,12,0.64,0.64,0.65,,
2011,03,07,17,13,0.63,,,,
2011,03,07,17,14,0.65,,,,
2011,03,07,17,15,0.66,,,,
2011,03,07,17,16,0.65,,,,
2011,03,07,17,17,0.67,,,,
2011,03,07,17,18,0.66,0.66,0.67,,
2011,03,07,17,19,0.66,,,,
2011,03,07,17,20,0.66,,,,
2011,03,07,17,21,0.67,,,,
2011,03,07,17,22,0.69,,,,
2011,03,07,17,23,0.68,,,,
2011,03,07,17,24,0.69,0.69,0.70,,
2011,03,07,17,25,0.70,,,,
2011,03,07,17,26,0.69,,,,
2011,03,07,17,27,0.71,,,,
2011,03,07,17,28,0.70,,,,
2011,03,07,17,29,0.72,,,,
2011,03,07,17,30,0.71,0.72,0.73,,
2011,03,07,17,31,0.72,,,,
2011,03,07,17,32,0.73,,,,
2011,03,07,17,33,0.71,,,,
2011,03,07,17,34,0.73,,,,
2011,03,07,17,35,0.73,,,,
2011,03,07,17,36,0.73,0.73,0.74,,
2011,03,07,17,37,0.73,,,,
2011,03,07,17,38,0.73,,,,
2011,03,07,17,39,0.74,,,,
2011,03,07,17,40,0.76,,,,
2011,03,07,17,41,0.75,,,,
2011,03,07,17,42,0.76,0.76,0.76,,
2011,03,07,17,43,0.76,,,,
2011,03,07,17,44,0.75,,,,
2011,03,07,17,45,0.78,,,,
2011,03,07,17,46,0.79,,,,
2011,03,07,17,47,0.79,,,,
2011,03,07,17,48,0.78,0.80,0.80,,
2011,03,07,17,49,0.81,,,,
2011,03,07,17,50,0.80,,,,
2011,03,07,17,51,0.81,,,,
2011,03,07,17,52,0.82,,,,
2011,03,07,17,53,0.80,,,,
2011,03,07,17,54,0.82,0.81,0.83,,
2011,03,07,17,55,0.53,,,,
2011,03,07,17,56,0.55,,,,
2011,03,07,17,57,0.55,,,,
2011,03,07,17,58,0.56,,,,
2011,03,07,17,59,0.56,,,,
2011,03,07,18,00,0.58,0.85,0.85,,
2011,03,07,18,01,0.84,,,,
2011,03,07,18,02,0.85,,,,
2011,03,07,18,03,0.85,,,,
2011,03,07,18,04,0.85,,,,
2011,03,07,18,05,0.85,,,,
2011,03,07,18,06,0.85,0.86,0.87,,
2011,03,07,18,07,0.85,,,,
2011,03,07,18,08,0.88,,,,
2011,03,07,18,09,0.87,,,,
2011,03,07,18,10,0.87,,,,
2011,03,07,18,11,0.87,,,,
2011,03,07,18,12,0.90,0.90,0.89,,
2011,03,07,18,13,0.89,,,,
2011,03,07,18,14,0.91,,,,
