RBR XR-420-CTDTu  4.60 010364 (Windows: 6.13)
Host time     11/05/12 09:40:07
Logger time   00/01/01 00:01:03
Logging start 11/03/10 10:26:30
Logging end   11/05/05 14:00:47
Sample period          00:01:00
Number of channels =  4, number of samples =  56115, mode: Logging Complete
N04%9.4f
Calibration  1: 0.019000000000000
                115.816999999999990
                0.000000000000000
                0.000000000000000 mS/cm
Calibration  2: 0.003393357512372
                -0.000253374267740
                0.000002085728346
                -0.000000065315866 Degrees_C
Calibration  3: -0.433104483498000
                649.886311963025950
                44.500312786084002
                21.978793100453998 deciBars
Calibration  4: 0.000000000000000
                5.000000000000000
                0.000000000000000
                0.000000000000000 NTU
Correction to conductivity: 0.0000000e+000 0.0000000e+000 0.0000000e+000 0.0000000e+000
COMMENT: pescadero - downstream - march 10 to about May 5 (retrieved may 11).  third from bottom probably
Memory type: 2 AMD 29LV033C
Averaging: 3 seconds
Logger start:Now 

     Cond      Temp      Pres      Turb 
   0.4279   11.5619   -0.4331    0.6250 
   0.4365   11.5618   -0.4331    0.6250 
   0.4311   11.5589   -0.4331    0.6250 
   0.4326   11.5744   -0.4331    0.6250 
   0.4309   11.5725   -0.4331    0.6250 
   0.4293   11.5574   -0.4331    0.6250 
   0.4354   11.5714   -0.4331    0.6250 
   0.4260   11.5883   -0.4331    0.6250 
   0.4159   11.5465   -0.4331    0.6250 
   0.4278   11.5631   -0.4331    0.6250 
   0.4244   11.5716   -0.4331    0.6250 
   0.4418   11.5777   -0.4331    0.6250 
   0.4266   11.5903   -0.4331    0.6250 
   0.4156   11.5762   -0.4331    0.6250 
   0.4429   11.5900   -0.4331    0.6250 
   0.4303   11.6036   -0.4331    0.6250 
   0.4278   11.6008   -0.4331    0.6250 
   0.4317   11.6097   -0.4331    0.6250 
   0.4236   11.6214   -0.4331    0.6250 
   0.4266   11.6118   -0.4331    0.6250 
   0.4249   11.6388   -0.4331    0.6250 
   0.4289   11.6537   -0.4331    0.6250 
   0.4269   11.6568   -0.4331    0.6250 
   0.4281   11.6453   -0.4331    0.6250 
   0.4296   11.6354   -0.4331    0.6250 
   0.4182   11.6326   -0.4331    0.6250 
   0.4220   11.6252   -0.4331    0.6250 
   0.4192   11.6690   -0.4331    0.6250 
   0.4190   11.6451   -0.4331    0.6250 
   0.4197   11.6139   -0.4331    0.6250 
   0.4206   11.6348   -0.4331    0.6250 
   0.4149   11.6418   -0.4331    0.6250 
   0.4197   11.6325   -0.4331    0.6250 
   0.4257   11.6430   -0.4331    0.6250 
   0.4218   11.6500   -0.4331    0.6250 
   0.4250   11.6900   -0.4331    0.6250 
   0.4252   11.6738   -0.4331    0.6250 
   0.4259   11.6704   -0.4331    0.6250 
   0.4129   11.6640   -0.4331    0.6250 
   0.4204   11.6775   -0.4331    0.6250 
   0.4206   11.6770   -0.4331    0.6250 
   0.4159   11.6989   -0.4331    0.6250 
   0.4253   11.7082   -0.4331    0.6250 
   0.4239   11.7198   -0.4331    0.6250 
   0.4344   11.7196   -0.4331    0.6250 
   0.4286   11.7391   -0.4331    0.6250 
   0.4177   11.7382   -0.4331    0.6250 
   0.4243   11.7159   -0.4331    0.6250 
   0.4286   11.7385   -0.4331    0.6250 
   0.4316   11.7283   -0.4331    0.6250 
   0.4251   11.7282   -0.4331    0.6250 
   0.4209   11.7233   -0.4331    0.6250 
   0.4190   11.7478   -0.4331    0.6250 
   0.4184   11.7420   -0.4331    0.6250 
   0.4198   11.7286   -0.4331    0.6250 
   0.4122   11.7395   -0.4331    0.6250 
   0.4171   11.7495   -0.4331    0.6250 
   0.4191   11.7513   -0.4331    0.6250 
   0.4178   11.7616   -0.4331    0.6250 
   0.4194   11.7664   -0.4331    0.6250 
   0.4265   11.7718   -0.4331    0.6250 
   0.4183   11.7920   -0.4331    0.6250 
   0.4175   11.7603   -0.4331    0.6250 
   0.4180   11.7465   -0.4331    0.6250 
   0.4126   11.7766   -0.4331    0.6250 
   0.4165   11.7966   -0.4331    0.6250 
   0.4197   11.8109   -0.4331    0.6250 
   0.4245   11.7994   -0.4331    0.6250 
   0.4160   11.8048   -0.4331    0.6250 
   0.4089   11.8227   -0.4331    0.6250 
   0.4194   11.8370   -0.4331    0.6250 
   0.4154   11.8505   -0.4331    0.6250 
   0.4278   11.8561   -0.4331    0.6250 
   0.4172   11.8515   -0.4331    0.6250 
   0.4187   11.8361   -0.4331    0.6250 
   0.4159   11.8533   -0.4331    0.6250 
   0.4251   11.8648   -0.4331    0.6250 
   0.4226   11.8696   -0.4331    0.6250 
   0.4248   11.8742   -0.4331    0.6250 
   0.4157   11.8607   -0.4331    0.6250 
   0.4242   11.8563   -0.4331    0.6250 
   0.4161   11.8772   -0.4331    0.6250 
   0.4144   11.8738   -0.4331    0.6250 
   0.4236   11.8669   -0.4331    0.6250 
   0.4174   11.8803   -0.4331    0.6250 
   0.4219   11.8826   -0.4331    0.6250 
   0.4093   11.8783   -0.4331    0.6250 
   0.4163   11.8914   -0.4331    0.6250 
   0.4239   11.9031   -0.4331    0.6250 
   0.4158   11.9053   -0.4331    0.6250 
   0.4084   11.9028   -0.4331    0.6250 
   0.4215   11.9063   -0.4331    0.6250 
   0.4243   11.9150   -0.4331    0.6250 
   0.4248   11.9324   -0.4331    0.6250 
   0.4195   11.9281   -0.4331    0.6250 
   0.4206   11.9323   -0.4331    0.6250 
   0.4228   11.9208   -0.4331    0.6250 
   0.4245   11.9325   -0.4331    0.6250 
   0.4143   11.9511   -0.4331    0.6250 
   0.4157   11.9689   -0.4331    0.6250 
   0.4095   11.9582   -0.4331    0.6250 
   0.4094   11.9488   -0.4331    0.6250 
   0.4188   11.9738   -0.4331    0.6250 
   0.4100   11.9667   -0.4331    0.6250 
   0.4252   11.9666   -0.4331    0.6250 
   0.4193   11.9791   -0.4331    0.6250 
   0.4073   11.9496   -0.4331    0.6250 
   0.4235   11.9849   -0.4331    0.6250 
   0.4159   11.9934   -0.4331    0.6250 
   0.4138   11.9979   -0.4331    0.6250 
   0.4149   12.0287   -0.4331    0.6250 
   0.4137   12.0271   -0.4331    0.6250 
   0.4137   12.0381   -0.4331    0.6250 
   0.4133   12.0526   -0.4331    0.6250 
   0.4167   12.0626   -0.4331    0.6250 
   0.4254   12.0728   -0.4331    0.6250 
   0.4116   12.0623   -0.4331    0.6250 
   0.4166   12.0553   -0.4331    0.6250 
   0.4150   12.0583   -0.4331    0.6250 
   0.4027   12.0707   -0.4331    0.6250 
   0.4054   12.0666   -0.4331    0.6250 
   0.4114   12.0860   -0.4331    0.6250 
   0.4245   12.0881   -0.4331    0.6250 
   0.4184   12.1045   -0.4331    0.6250 
   0.4039   12.0939   -0.4331    0.6250 
   0.4033   12.0739   -0.4331    0.6250 
   0.4099   12.0678   -0.4331    0.6250 
   0.4185   12.0503   -0.4331    0.6250 
   0.4036   12.0778   -0.4331    0.6250 
   0.4241   12.1042   -0.4331    0.6250 
   0.4189   12.1211   -0.4331    0.6250 
   0.4092   12.0822   -0.4331    0.6250 
   0.4274   12.0985   -0.4331    0.6250 
   0.4120   12.1253   -0.4331    0.6250 
   0.4190   12.1177   -0.4331    0.6250 
   0.4132   12.1254   -0.4331    0.6250 
   0.4094   12.1394   -0.4331    0.6250 
   0.4075   12.1240   -0.4331    0.6250 
   0.4138   12.1365   -0.4331    0.6250 
   0.4151   12.1110   -0.4331    0.6250 
   0.4141   12.0870   -0.4331    0.6250 
   0.4139   12.0967   -0.4331    0.6250 
   0.4104   12.1125   -0.4331    0.6250 
   0.4200   12.1361   -0.4331    0.6250 
   0.4091   12.1456   -0.4331    0.6250 
   0.4072   12.1307   -0.4331    0.6250 
   0.4051   12.1394   -0.4331    0.6250 
   0.4075   12.1025   -0.4331    0.6250 
   0.4044   12.1034   -0.4331    0.6250 
   0.4109   12.1378   -0.4331    0.6250 
   0.4145   12.1581   -0.4331    0.6250 
   0.4039   12.1310   -0.4331    0.6250 
   0.4034   12.1180   -0.4331    0.6250 
   0.4110   12.1594   -0.4331    0.6250 
   0.4027   12.1336   -0.4331    0.6250 
   0.3963   12.0897   -0.4331    0.6250 
   0.4060   12.1095   -0.4331    0.6250 
   0.4022   12.1598   -0.4331    0.6250 
   0.3992   12.1219   -0.4331    0.6250 
   0.4035   12.1011   -0.4331    0.6250 
   0.4102   12.1119   -0.4331    0.6250 
   0.3932   12.1104   -0.4331    0.6250 
   0.4073   12.1559   -0.4331    0.6250 
   0.4035   12.1268   -0.4331    0.6250 
   0.4060   12.1399   -0.4331    0.6250 
   0.4019   12.0613   -0.4331    0.6250 
   0.4080   12.0531   -0.4331    0.6250 
   0.4165   12.0734   -0.4331    0.6250 
   0.4046   12.1174   -0.4331    0.6250 
   0.4075   12.1268   -0.4331    0.6250 
   0.4082   12.0626   -0.4331    0.6250 
   0.3977   12.0154   -0.4331    0.6250 
   0.4095   12.0528   -0.4331    0.6250 
   0.4093   12.0587   -0.4331    0.6250 
   0.4061   12.0374   -0.4331    0.6250 
   0.4058   12.0256   -0.4331    0.6250 
   0.4132   12.0446   -0.4331    0.6250 
   0.4099   12.0733   -0.4331    0.6250 
   0.4096   12.0439   -0.4331    0.6250 
   0.4028   12.0298   -0.4331    0.6250 
   0.4120   12.0578   -0.4331    0.6250 
   0.4075   11.9933   -0.4331    0.6250 
   0.4035   12.0019   -0.4331    0.6250 
   0.4061   11.9907   -0.4331    0.6250 
   0.3990   12.0299   -0.4331    0.6250 
   0.4040   12.0287   -0.4331    0.6250 
   0.3986   12.0450   -0.4331    0.6250 
   0.4072   12.0403   -0.4331    0.6250 
   0.3973   12.0047   -0.4331    0.6250 
   0.4008   12.0159   -0.4331    0.6250 
   0.4025   11.9922   -0.4331    0.6250 
   0.3959   11.9709   -0.4331    0.6250 
   0.4037   12.0082   -0.4331    0.6250 
   0.3922   12.0138   -0.4331    0.6250 
   0.4100   11.9908   -0.4331    0.6250 
   0.4004   11.9859   -0.4331    0.6250 
   0.4008   11.9775   -0.4331    0.6250 
   0.3992   12.0178   -0.4331    0.6250 
   0.3973   11.9746   -0.4331    0.6250 
   0.4113   11.9785   -0.4331    0.6250 
   0.4093   11.9170   -0.4331    0.6250 
   0.4131   11.9322   -0.4331    0.6250 
   0.4002   11.9373   -0.4331    0.6250 
   0.4058   11.9441   -0.4331    0.6250 
   0.4135   11.9367   -0.4331    0.6250 
   0.3931   11.9673   -0.4331    0.6250 
   0.4034   11.9118   -0.4331    0.6250 
   0.4069   11.9048   -0.4331    0.6250 
   0.4098   11.9111   -0.4331    0.6250 
   0.4003   11.8982   -0.4331    0.6250 
   0.4041   11.9115   -0.4331    0.6250 
   0.4047   11.9222   -0.4331    0.6250 
   0.3970   11.9328   -0.4331    0.6250 
   0.4089   11.9084   -0.4331    0.6250 
   0.4082   11.9079   -0.4331    0.6250 
   0.3946   11.9158   -0.4331    0.6250 
   0.4018   11.9100   -0.4331    0.6250 
   0.4132   11.9243   -0.4331    0.6250 
   0.3977   11.9010   -0.4331    0.6250 
   0.3963   11.8722   -0.4331    0.6250 
   0.4000   11.8690   -0.4331    0.6250 
   0.4017   11.8392   -0.4331    0.6250 
   0.4034   11.8358   -0.4331    0.6250 
   0.4028   11.8130   -0.4331    0.6250 
   0.3999   11.8092   -0.4331    0.6250 
   0.4073   11.7988   -0.4331    0.6250 
   0.4024   11.8433   -0.4331    0.6250 
   0.4065   11.8202   -0.4331    0.6250 
   0.3992   11.8029   -0.4331    0.6250 
   0.4008   11.7971   -0.4331    0.6250 
   0.3988   11.8097   -0.4331    0.6250 
   0.4044   11.7954   -0.4331    0.6250 
   0.4110   11.7906   -0.4331    0.6250 
   0.3985   11.7739   -0.4331    0.6250 
   0.4100   11.7634   -0.4331    0.6250 
   0.4016   11.7670   -0.4331    0.6250 
   0.4107   11.7415   -0.4331    0.6250 
   0.4069   11.7414   -0.4331    0.6250 
   0.4032   11.7661   -0.4331    0.6250 
   0.4065   11.7468   -0.4331    0.6250 
